Day,Funnel,Analysis,Program Backlog,Implementation,Blocker,Validating on Staging,Deploying to Production,Releasing,Done 
08.04.2022,0,0,0,0,0,0,0,0,0 
09.04.2022,0,0,0,0,0,0,0,0,0 
10.04.2022,0,0,0,0,0,0,0,0,0 
11.04.2022,0,0,0,0,0,0,0,0,0 
12.04.2022,0,0,0,0,0,0,0,0,0 
13.04.2022,0,0,0,0,0,0,0,0,0 
14.04.2022,0,0,0,0,0,0,0,0,0 
15.04.2022,0,0,0,0,0,0,0,0,0 
16.04.2022,0,0,0,0,0,0,0,0,0 
17.04.2022,0,0,0,0,0,0,0,0,0 
18.04.2022,0,0,0,0,0,0,0,0,0 
19.04.2022,0,0,0,0,0,0,0,0,0 
20.04.2022,0,0,0,0,0,0,0,0,0 
21.04.2022,0,0,0,0,0,0,0,0,0 
22.04.2022,0,0,0,0,0,0,0,0,0 
23.04.2022,0,0,0,0,0,0,0,0,0 
24.04.2022,0,0,0,0,0,0,0,0,0 
25.04.2022,0,0,0,0,0,0,0,0,0 
26.04.2022,0,0,0,0,0,0,0,0,0 
27.04.2022,0,0,0,0,0,0,0,0,0 
28.04.2022,0,0,0,0,0,0,0,0,0 
29.04.2022,0,0,0,0,0,0,0,0,0 
30.04.2022,0,0,0,0,0,0,0,0,0 
01.05.2022,0,0,0,0,0,0,0,0,0 
02.05.2022,0,0,0,0,0,0,0,0,0 
03.05.2022,0,0,0,0,0,0,0,0,0 
04.05.2022,0,0,0,0,0,0,0,0,0 
05.05.2022,0,0,0,0,0,0,0,0,0 
06.05.2022,0,0,0,0,0,0,0,0,0 
07.05.2022,0,0,0,0,0,0,0,0,0 
08.05.2022,0,0,0,0,0,0,0,0,0 
09.05.2022,0,0,0,0,0,0,0,0,0 
10.05.2022,0,0,0,0,0,0,0,0,0 
11.05.2022,0,0,0,0,0,0,0,0,0 
12.05.2022,0,0,0,0,0,0,0,0,0 
13.05.2022,0,0,0,0,0,0,0,0,0 
14.05.2022,0,0,0,0,0,0,0,0,0 
15.05.2022,0,0,0,0,0,0,0,0,0 
