Key;Transition;Timestamp
ART_A-739;Created;30.11.2025 16:49:19
ART_A-739;Analysis;30.11.2025 16:49:24
ART_A-738;Created;30.11.2025 16:41:25
ART_A-737;Created;30.11.2025 16:29:13
ART_A-737;Funnel;30.11.2025 16:53:59
ART_A-737;Analysis;30.11.2025 16:31:07
ART_A-736;Created;30.11.2025 16:25:44
ART_A-736;Analysis;30.11.2025 16:25:52
ART_A-735;Created;30.11.2025 16:12:54
ART_A-735;Program Backlog;30.11.2025 16:13:04
ART_A-734;Created;30.11.2025 15:32:27
ART_A-734;Analysis;30.11.2025 15:32:34
ART_A-731;Created;30.11.2025 14:50:50
ART_A-724;Created;30.11.2025 09:38:06
ART_A-724;Analysis;30.11.2025 09:57:01
ART_A-720;Created;17.05.2025 09:42:15
ART_A-720;Funnel;29.11.2025 17:46:16
ART_A-720;Funnel;25.09.2025 14:41:34
ART_A-719;Created;17.05.2025 08:19:17
ART_A-719;Funnel;29.11.2025 17:46:15
ART_A-719;Funnel;25.09.2025 14:41:29
ART_A-718;Created;18.10.2025 14:20:46
ART_A-718;Funnel;29.11.2025 17:46:14
ART_A-717;Created;27.03.2025 10:47:31
ART_A-717;Analysis;29.11.2025 17:46:12
ART_A-717;Analysis;26.10.2025 09:22:52
ART_A-717;Funnel;26.10.2025 09:22:47
ART_A-717;Deploying to Production;26.10.2025 09:22:38
ART_A-717;Implementation;26.10.2025 09:22:32
ART_A-717;Validating on Staging;25.09.2025 14:41:31
ART_A-717;Implementation;01.08.2025 17:34:47
ART_A-716;Created;09.05.2025 17:42:08
ART_A-716;Program Backlog;29.11.2025 17:46:10
ART_A-716;Deploying to Production;17.11.2025 15:13:17
ART_A-716;Analysis;17.11.2025 15:13:12
ART_A-716;Funnel;25.09.2025 14:41:35
ART_A-715;Created;10.05.2025 13:40:07
ART_A-715;Funnel;29.11.2025 17:46:09
ART_A-715;Funnel;25.09.2025 14:41:32
ART_A-711;Created;28.11.2025 16:03:40
ART_A-711;Analysis;28.11.2025 16:04:24
ART_A-710;Created;28.11.2025 11:16:41
ART_A-709;Created;28.11.2025 11:16:38
ART_A-709;Done;28.11.2025 11:28:53
ART_A-708;Created;28.11.2025 10:44:46
ART_A-708;Analysis;30.11.2025 14:28:36
ART_A-707;Created;28.11.2025 10:43:50
ART_A-707;Analysis;28.11.2025 10:44:30
ART_A-706;Created;27.11.2025 14:53:36
ART_A-706;Analysis;27.11.2025 15:06:51
ART_A-704;Created;27.11.2025 07:42:21
ART_A-702;Created;24.11.2025 14:55:55
ART_A-702;Analysis;30.11.2025 11:40:52
ART_A-701;Created;24.11.2025 14:37:23
ART_A-701;Analysis;24.11.2025 14:42:59
ART_A-700;Created;24.11.2025 12:19:45
ART_A-700;Analysis;24.11.2025 14:20:04
ART_A-699;Created;24.11.2025 12:12:55
ART_A-699;Analysis;24.11.2025 14:34:41
ART_A-698;Created;24.11.2025 12:02:03
ART_A-698;Analysis;24.11.2025 14:34:37
ART_A-697;Created;24.11.2025 11:41:33
ART_A-697;Analysis;24.11.2025 14:34:33
ART_A-696;Created;24.11.2025 11:29:11
ART_A-696;Analysis;24.11.2025 11:29:19
ART_A-693;Created;23.11.2025 13:31:17
ART_A-691;Created;23.11.2025 11:24:08
ART_A-690;Created;23.11.2025 11:18:46
ART_A-690;Analysis;23.11.2025 11:40:28
ART_A-687;Created;21.11.2025 10:44:33
ART_A-687;Program Backlog;27.11.2025 09:45:25
ART_A-687;Analysis;21.11.2025 13:53:03
ART_A-685;Created;17.11.2025 16:31:38
ART_A-682;Created;17.11.2025 15:54:45
ART_A-681;Created;17.11.2025 14:30:56
ART_A-680;Created;17.11.2025 14:29:30
ART_A-675;Created;15.11.2025 14:52:11
ART_A-675;Analysis;15.11.2025 14:52:37
ART_A-674;Created;15.11.2025 10:09:26
ART_A-673;Created;15.11.2025 09:59:29
ART_A-672;Created;14.11.2025 13:10:37
ART_A-672;Funnel;23.11.2025 13:11:58
ART_A-672;Analysis;16.11.2025 10:30:15
ART_A-671;Created;13.11.2025 17:38:56
ART_A-670;Created;13.11.2025 17:26:59
ART_A-670;Analysis;30.11.2025 14:28:39
ART_A-669;Created;13.11.2025 17:11:03
ART_A-668;Created;13.11.2025 16:52:29
ART_A-668;Analysis;30.11.2025 14:28:24
ART_A-667;Created;13.11.2025 16:48:14
ART_A-667;Analysis;30.11.2025 14:28:21
ART_A-665;Created;09.11.2025 10:35:17
ART_A-665;Analysis;17.11.2025 07:54:56
ART_A-662;Created;08.11.2025 11:07:47
ART_A-661;Created;08.11.2025 08:24:52
ART_A-661;Analysis;08.11.2025 08:53:03
ART_A-660;Created;08.11.2025 08:17:30
ART_A-659;Created;08.11.2025 06:58:51
ART_A-659;Analysis;08.11.2025 07:42:02
ART_A-657;Created;07.11.2025 17:07:23
ART_A-657;Done;30.11.2025 14:00:15
ART_A-657;Releasing;30.11.2025 13:59:54
ART_A-657;Implementation;16.11.2025 10:06:39
ART_A-657;Analysis;07.11.2025 17:08:01
ART_A-653;Created;03.11.2025 16:57:50
ART_A-652;Created;03.11.2025 16:54:33
ART_A-651;Created;03.11.2025 16:51:57
ART_A-651;Funnel;15.11.2025 14:59:19
ART_A-651;Analysis;15.11.2025 14:54:25
ART_A-650;Created;03.11.2025 16:48:22
ART_A-650;Funnel;20.11.2025 16:40:42
